OTUId	B0-19a	B0-19b	B0-22a	B0-22b	B0-24	B0-27	B10-01	B10-06	B10-09a	B10-09b	B10-18	B10-24	B10-25a	B10-25b	B10-26a	B15-01a	B15-01b	B15-06	B15-07a	B15-07b	B15-11	B15-20	B15-24	B15-25a	B15-25b	B16-01a	B16-04	B16-31a	B16-31b	B20-04a	B20-08a	B20-08b	B20-11	B23-21	B23-23a	B24-02a	B24-26a	B24-26b	B24-28a	B24-29	B36-14a	B36-14b	B36-30	B36-31a	B36-32	B39-15	B39-16	B39-17a	B46-03	B7-07	B7-08a	medium1	medium2	negative1	negative2	standard1	standard2
Zotu2	16671	17059	42	16	319	13	16	35	76	29	24	35	29	28	60	181	11	55	86	22	54	282	39	120	43	24526	24421	35797	20325	21259	7488	13954	7613	41	73	1292	28365	3492	13767	80	12863	10757	11835	23964	23573	26359	26612	4077	14748	19215	12684	27	115	17	26	10	30
Zotu48	58	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	1	42	0	0	0	0	49	67	0	0	0	29	0	0	0	0	0	0	0	0
Zotu3	234	2412	4	4	491	12	5948	2313	6297	15881	8940	12924	16344	14402	8950	29	13	4	81	7	3	52	9	34	5	2	2475	455	2588	1162	3665	2659	3797	936	4295	19	1855	425	8025	4261	3969	5080	1628	445	2061	1903	5686	359	1388	12	11	23	16	4	1	5	13
Zotu1	59	31	14443	12	34751	5423	7812	17415	15036	34	13854	16315	16115	10518	24220	17209	9809	10660	12297	7266	6002	9416	5279	12087	7800	46	7292	70	111	31	109	6	37	20980	18767	103	2752	783	8282	21526	11018	7073	6576	3676	11864	10196	10126	816	32	10775	44	65	41	19	12	24	17
Zotu10	114	0	301	7	16	1	284	13	14	7	10	5	5	1	6	4	8	5	5	0	11	176	25	9	6	3	1	24	27	11	3	0	0	8	13	0	2	7	1	3	1	118	7	7	1	9	180	5	2	51	2	1692	3552	1643	2112	8	5
Zotu31	27	6	0	23	7	4	3	9	146	84	4	1	11	0	8	0	79	0	91	4	1	1	2	0	1	0	0	2	0	21	0	0	0	29	14	0	2	0	0	8	0	0	10	2	0	4	0	0	4	0	0	0	0	0	0	0	0
Zotu21	323	293	25	9	3	15	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	2	2	19	278	25	0	0	0	194	386	0	0	1	391	0	0	0	1	0	0	0	0
Zotu66	3	0	0	0	14	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	27	22	0	7	6	8	0	4	0	0	0	0	0	2	0	23	0	1	0	13	0	2
Zotu260	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	1	0	0
Zotu51	62	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	42	0	0	0	0	30	40	0	0	0	40	0	0	0	0	0	0	0	0
Zotu13	86	0	216	1	0	0	184	1	1	3	5	1	6	0	4	7	0	4	2	1	4	137	7	4	0	2	0	21	28	4	0	0	0	4	3	0	1	3	0	0	0	101	0	0	1	0	106	11	4	31	0	1137	2301	1201	1482	3	1
Zotu30	15	0	15	0	0	0	22	0	0	0	2	0	1	0	0	0	0	0	0	0	0	10	1	2	0	0	0	3	1	1	0	0	0	0	1	0	0	0	0	1	0	16	0	0	0	0	14	0	0	5	0	198	297	194	203	0	0
Zotu53	58	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	24	0	0	0	0	31	31	0	0	0	36	0	0	0	0	0	0	0	0
Zotu60	2	0	5	0	0	0	3	0	0	0	0	0	1	2	0	2	2	2	1	0	0	2	0	1	0	2	0	0	0	0	0	0	0	13	5	0	0	0	1	2	0	2	3	0	1	1	2	0	0	1	0	37	38	12	46	0	0
Zotu49	76	46	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	64	0	0	0	0	64	93	0	0	0	34	0	0	0	2	0	0	0	0
Zotu12	120	0	145	1	1	0	140	4	5	4	8	1	2	0	13	4	0	0	1	0	2	75	13	4	0	2	0	29	26	9	2	0	0	6	5	0	1	5	0	0	0	83	1	3	0	1	97	4	0	27	0	1041	1681	1107	1431	5	1
Zotu45	21	124	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	0	0	0	2	50	0	0	0	161	2	0	0	0	0	0	0	0
