		Domain	Phylum	Class	Order	Family	Genus	Species
Zotu2	AM418384_S000768523	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadaceae	g:Pseudoxanthomonas	s:Pseudoxanthomonas_spadix
Zotu10	EU189132_S001020373	d:Bacteria	p:Cyanobacteria/Chloroplast	c:Chloroplast		f:Chloroplast	g:Streptophyta	
Zotu5	JN175337_S002916781	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Erwinia	
Zotu9	JN175337_S002916781	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Erwinia	
Zotu13	DQ359689_S001020519	d:Bacteria	p:Cyanobacteria/Chloroplast	c:Chloroplast		f:Chloroplast	g:Streptophyta	
Zotu15	AB004748_S000381743	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Salmonella	s:Salmonella_enterica
Zotu14	AF530475_S000139289	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Escherichia	s:Escherichia_coli
Zotu17	L37599_S000414713	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Staphylococcaceae	g:Staphylococcus	s:Staphylococcus_aureus
Zotu18	AF061004_S000428243	d:Bacteria	p:Firmicutes	c:Bacilli	o:Lactobacillales	f:Enterococcaceae	g:Enterococcus	s:Enterococcus_faecalis
Zotu22	DQ359689_S001020519	d:Bacteria	p:Cyanobacteria/Chloroplast	c:Chloroplast		f:Chloroplast	g:Streptophyta	
Zotu21	AB248875_S000711011	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Actinomycetales	f:Microbacteriaceae	g:Microbacterium	s:Microbacterium_pygmaeum
Zotu20	AF268968_S000390413	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	s:Pseudomonas_brenneri
Zotu23	AY953147_S000514601	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	s:Pseudomonas_aeruginosa
Zotu19	DQ442560_S000775896	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Actinomycetales	f:Streptomycetaceae	g:Streptomyces	s:Streptomyces_xanthophaeus
Zotu27	JN175331_S002916775	d:Bacteria	p:Firmicutes	c:Bacilli	o:Lactobacillales	f:Lactobacillaceae	g:Lactobacillus	s:Lactobacillus_fermentum
Zotu25	AB021191_S000006847	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Bacillaceae_1	g:Bacillus	s:Bacillus_subtilis
Zotu29	DQ065846_S000538409	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Listeriaceae	g:Listeria	s:Listeria_monocytogenes
Zotu32	AB680380_S003262271	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Salmonella	
Zotu34	AB042240_S000495537	d:Bacteria	p:Cyanobacteria/Chloroplast	c:Chloroplast		f:Chloroplast	g:Streptophyta	
Zotu36	AM501435_S000964798	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	g:Pelomonas	s:Pelomonas_aquatica
Zotu37	AB004748_S000381743	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Pluralibacter	
Zotu39	HM047743_S002167808	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Moraxellaceae	g:Acinetobacter	s:Acinetobacter_indicus
Zotu43	AY636000_S000548442	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Phyllobacteriaceae	g:Phyllobacterium	s:Phyllobacterium_catacumbae
Zotu40	GQ379228_S001610569	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Undibacterium	s:Undibacterium_oligocarboniphilum
Zotu44	AJ550856_S000117304	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Moraxellaceae	g:Enhydrobacter	s:Enhydrobacter_aerosaccus
Zotu42	X92417_S000021340	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Oceanospirillales	f:Halomonadaceae	g:Halomonas	s:Halomonas_desiderata
Zotu49	AB248875_S000711011	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Actinomycetales	f:Microbacteriaceae	g:Microbacterium	s:Microbacterium_pygmaeum
Zotu46	HQ844973_S002410689	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Actinomycetales	f:Microbacteriaceae	g:Microbacterium	s:Microbacterium_panaciterrae
Zotu50	KM206131_S004232789	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Moraxellaceae	g:Acinetobacter	s:Acinetobacter_gandensis
Zotu55	Y10764_S000012797	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadaceae	g:Xanthomonas	s:Xanthomonas_bromi
Zotu56	EF178282_S000776602	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Alteromonadales	f:Shewanellaceae	g:Shewanella	s:Shewanella_haliotis
Zotu57	AJ640133_S000324025	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Oceanospirillales	f:Halomonadaceae	g:Halomonas	s:Halomonas_alkaliphila
Zotu58	HE978271_S003288366	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	s:Pseudomonas_aeruginosa
Zotu64	AF177666_S000388692	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Alcaligenaceae	g:Bordetella	s:Bordetella_avium
Zotu69	KM206131_S004232789	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Moraxellaceae	g:Acinetobacter	s:Acinetobacter_gandensis
Zotu70	X81665_S000003452	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Moraxellaceae	g:Acinetobacter	s:Acinetobacter_lwoffii
Zotu67	AF233877_S000389731	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	g:Comamonas	s:Comamonas_denitrificans
Zotu72	AB030583_S000010130	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	s:Pseudomonas_alcaliphila
