"freq"	"prev"	"p.freq"	"p.prev"	"p"	"contaminant"
"Zotu260:Gp3_spc"	0.000151160181616516	6	NA	0.00132908027644869	0.00132908027644869	TRUE
"Zotu60:Bradyrhizobium_spc"	0.00249626226774369	26	NA	0.0189235715551505	0.0189235715551505	TRUE
"Zotu74:Halomonadaceae_spc"	0.000825335856507124	11	NA	0.000417710944026706	0.000417710944026706	TRUE
"Zotu67:Comamonas_denitrificans"	0.00145736364698905	16	NA	0.00230373914584446	0.00230373914584446	TRUE
"Zotu28:Halomonadaceae_spc"	0.00566662442032871	20	NA	0.00613275613275616	0.00613275613275616	TRUE
"Zotu99:Pseudomonas_alcaliphila"	0.000690190957542107	11	NA	0.000417710944026706	0.000417710944026706	TRUE
"Zotu92:Sphingomonas_alpina"	0.00164806829079705	20	NA	0.00613275613275616	0.00613275613275616	TRUE
"Zotu71:Acetobacteraceae_spc"	0.000824947420476995	13	NA	0.000905040378724545	0.000905040378724545	TRUE
"Zotu192:Sphingomonas_azotifigens"	0.000304613111680511	11	NA	0.000417710944026706	0.000417710944026706	TRUE
"Zotu294:Aeromonas_salmonicida_subsp._achromogenes"	0.000205236759842653	7	NA	0.0370813397129187	0.0370813397129187	TRUE
"Zotu249:Alcanivorax_spc"	0.000130929137264915	6	NA	0.00132908027644869	0.00132908027644869	TRUE
"Zotu19:Streptomyces_xanthophaeus"	0.0132530958895011	28	NA	0.0259170653907496	0.0259170653907496	TRUE
"Zotu33:Sediminibacterium_spc"	0.00521201474918134	27	NA	0.0222146274777854	0.0222146274777854	TRUE
"Zotu97:Bradyrhizobium_spc"	0.00096500011287236	19	NA	0.00490620490620495	0.00490620490620495	TRUE
"Zotu200:Planctomycetaceae_spc"	7.55004681225285e-05	6	NA	1.89868610921078e-05	1.89868610921078e-05	TRUE
"Zotu64:Bordetella_avium"	0.000848368348234537	17	NA	0.00301258195995041	0.00301258195995041	TRUE
"Zotu17:Staphylococcus_aureus"	0.0108069749299483	32	NA	0.0455178349915192	0.0455178349915192	TRUE
"Zotu40:Undibacterium_oligocarboniphilum"	0.00528024830762939	29	NA	0.0300637958532695	0.0300637958532695	TRUE
"Zotu23:Pseudomonas_aeruginosa"	0.00319907755984674	13	NA	0.000905040378724545	0.000905040378724545	TRUE
"Zotu282:Actinobacteria_spc"	0.00011186022682046	5	NA	0.0181134654818866	0.0181134654818866	TRUE
"Zotu20:Pseudomonas_brenneri"	0.0142298386605115	30	NA	0.0346889952153111	0.0346889952153111	TRUE
"Zotu334:Gp1_spc"	0.000106245337419066	8	NA	0.00365054049264573	0.00365054049264573	TRUE
"Zotu198:Alphaproteobacteria_spc"	0.000106515768405314	7	NA	4.4302675881622e-05	4.4302675881622e-05	TRUE
"Zotu75:Brevundimonas_mediterranea"	0.00281676359507604	23	NA	0.0112085769980507	0.0112085769980507	TRUE
"Zotu183:Massilia_niabensis"	0.000847849427518204	13	NA	0.000905040378724545	0.000905040378724545	TRUE
"Zotu55:Xanthomonas_bromi"	0.00211713264837681	19	NA	0.00490620490620495	0.00490620490620495	TRUE
"Zotu279:Pedobacter_antarcticus"	0.00130032077181998	9	NA	0.0619275461380725	0.0619275461380725	TRUE
"Zotu61:Halomonadaceae_spc"	0.00135468794135377	11	NA	0.000417710944026706	0.000417710944026706	TRUE
"Zotu94:Streptococcus_dentisani"	0.00118417034637452	18	NA	0.00387331966279334	0.00387331966279334	TRUE
"Zotu42:Halomonas_desiderata"	0.00263100241666544	13	NA	0.000905040378724545	0.000905040378724545	TRUE
"Zotu79:Lactobacillaceae_spc"	0.000611565444289336	11	NA	0.000417710944026706	0.000417710944026706	TRUE
"Zotu36:Pelomonas_aquatica"	0.00628693303194659	36	NA	0.074561403508772	0.074561403508772	TRUE
"Zotu63:Acetobacteraceae_spc"	0.00107314191191312	12	NA	0.000626566416040113	0.000626566416040113	TRUE
"Zotu165:Anaerolineaceae_spc"	0.000127482670194567	5	NA	0.000670869091921673	0.000670869091921673	TRUE
"Zotu182:Acetobacteraceae_spc"	0.000100669458221796	5	NA	6.32895369740631e-06	6.32895369740631e-06	TRUE
"Zotu278:Gp1_spc"	7.03679411350223e-05	5	NA	0.000670869091921673	0.000670869091921673	TRUE
