OTUId	B0-19a	B0-19b	B0-22a	B0-22b	B0-24	B0-27	B10-01	B10-06	B10-09a	B10-09b	B10-18	B10-24	B10-25a	B10-25b	B10-26a	B15-01a	B15-01b	B15-06	B15-07a	B15-07b	B15-11	B15-20	B15-24	B15-25a	B15-25b	B16-01a	B16-04	B16-31a	B16-31b	B20-04a	B20-08a	B20-08b	B20-11	B23-21	B23-23a	B24-02a	B24-26a	B24-26b	B24-28a	B24-29	B36-14a	B36-14b	B36-30	B36-31a	B36-32	B39-15	B39-16	B39-17a	B46-03	B7-07	B7-08a	medium1	medium2	negative2	negative1	mock	standard
LSUzotu2	7705	9	22	6	15410	10421	16220	13569	5195	7	3573	7565	13414	7353	18965	9796	2454	1589	2382	4285	8639	3977	8446	5434	14262	3	7443	793	33	30	49	7	3	4734	14764	43	2542	3448	8373	2555	4297	15265	1367	499	699	6225	7681	130	15	3522	5	7	23	21	24	747	16
LSUzotu7	386	0	0	0	548	380	109	125	115	0	40	64	116	58	93	63	47	20	47	49	91	79	115	50	73	0	34	7	0	0	1	0	1	46	67	0	47	33	87	21	50	109	24	15	4	73	83	1	0	23	0	0	0	0	0	20	0
LSUzotu1	258	19888	19631	34239	7239	1340	170	11309	18613	35695	2094	1159	6733	95	4421	33	20163	4	15782	3284	4560	7674	3569	466	3571	20350	33	10485	10239	34162	21	3445	6388	22924	8567	1031	11771	5163	6763	4311	3226	6297	6760	16058	367	5922	2153	11890	20657	2230	4660	2	12	11	219	4546	6
LSUzotu12	43	0	0	0	65	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSUzotu4	251	1	11	2284	2764	3024	13	0	1	0	2	0	2	0	1	1260	257	524	178	1572	4372	1616	7115	1663	3320	1	1	29	4	1	3	0	2	2	1	1	0	0	29	1	3	0	3	3	0	2	0	5	1	0	14	0	0	2	0	1822	0
LSUzotu10	2	0	0	1	33	102	0	0	0	0	0	0	0	0	0	43	5	2	5	14	88	16	122	19	147	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
LSUzotu37	3	0	0	0	123	187	0	0	0	1	0	0	0	0	0	197	6	52	6	123	144	24	257	124	412	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
LSUzotu148	1	0	0	0	43	35	3	0	0	0	0	0	0	0	1	20	1	11	1	14	49	8	50	14	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LSUzotu43	2	0	0	0	29	17	1	99	178	0	15	18	125	0	130	0	92	0	85	20	27	45	26	0	101	0	0	3	0	0	1	0	0	7	181	0	79	87	85	3	9	100	2	24	0	0	0	8	0	1	0	0	0	1	0	5	0
LSUzotu35	1	0	0	0	78	116	1	1	0	0	0	0	1	0	0	82	1	13	2	29	101	28	158	31	335	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSUzotu9	2	0	0	0	170	192	2	4	0	0	1	1	14	0	5	187	34	14	7	105	223	58	345	76	1081	0	0	2	0	0	0	0	0	0	2	1	0	5	17	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0
LSUzotu72	1	0	0	0	27	13	3	52	54	0	8	7	72	1	98	0	51	0	40	17	14	11	8	1	59	0	0	1	0	0	1	0	0	8	147	0	56	25	61	0	10	64	2	11	0	0	1	3	0	0	0	0	0	0	2	3	0
LSUzotu97	0	5	0	0	0	0	4	4	0	217	11	6	36	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	41	0	0	175	6	0	12	0	16	23	60	0	3	18	0	6	0	0	0	5	0	0	0	0	0	0	0	3	0
LSUzotu5	0	45	4	0	1	1	3221	161	7	2030	540	885	861	3875	413	0	0	0	0	0	0	0	0	0	0	1	10	113	376	52	573	5452	1957	19	297	0	280	323	1842	62	407	743	23	19	19	98	1914	32	385	0	0	1	0	0	0	1	3
LSUzotu30	0	21	0	0	0	0	1	2	1	476	10	2	22	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	48	10	0	188	1	0	12	0	37	19	59	0	1	23	0	5	0	0	0	9	6	0	0	0	0	0	0	0	0
LSUzotu29	0	13	0	492	15	13	0	0	4	206	6	0	12	0	0	0	32	0	31	19	32	35	43	0	84	0	0	0	18	1	0	42	0	0	4	1	14	19	28	0	0	6	0	6	0	0	0	1	0	0	5	0	0	0	0	29	0
LSUzotu42	0	4	0	0	0	0	0	2	0	177	4	1	18	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	28	6	0	68	2	0	0	0	10	7	26	0	5	6	0	1	0	0	0	5	2	0	0	0	0	0	1	0	0
LSUzotu131	0	1	0	13	0	0	0	0	0	38	0	0	0	0	1	0	0	0	1	1	0	2	0	0	1	0	0	0	1	1	0	4	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSUzotu62	0	5	0	0	0	0	0	0	3	148	3	0	12	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	25	1	0	63	2	0	7	0	10	17	26	0	3	15	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
LSUzotu114	0	2	0	0	0	0	0	0	0	199	1	0	14	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	64	2	2	0	0	14	23	24	0	1	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
