		Kingdom	Phylum	Class	Order	Family	Genus	Species
LSUzotu1	Cg	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Chaetomium	s:Chaetomium_globosum
LSUzotu12	27HJ11_05677863_05677863	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu13	Pc	k:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Trichocomaceae	g:Penicillium	s:Penicillium_commune
LSUzotu10	27HJ13_05677900_05677900	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_canadensis
LSUzotu8	Pc	k:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Trichocomaceae	g:Penicillium	s:Penicillium_commune
LSUzotu2	27HJ11_05677863_05677863	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu6	Ss	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Sporothrix	s:Sporothrix_stenoceras
LSUzotu16	Pc	k:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Trichocomaceae	g:Penicillium	s:Penicillium_commune
LSUzotu7	27HJ11_05677863_05677863	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu4	27HJ13_05677900_05677900	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_canadensis
LSUzotu18	Pc	k:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Trichocomaceae	g:Penicillium	s:Penicillium_commune
LSUzotu29	Cg	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Chaetomium	s:Chaetomium_globosum
LSUzotu37	27HJ13_05677900_05677900	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_canadensis
LSUzotu40	27HJ13_05677900_05677900	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_canadensis
LSUzotu54	Ss	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Sporothrix	s:Sporothrix_stenoceras
LSUzotu58	Pc	k:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Trichocomaceae	g:Penicillium	s:Penicillium_commune
LSUzotu99	Pc	k:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Trichocomaceae	g:Penicillium	s:Penicillium_commune
LSUzotu138	Ss	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Sporothrix	s:Sporothrix_stenoceras
LSUzotu158	Ss	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Sporothrix	s:Sporothrix_stenoceras
LSUzotu190	Ss	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Sporothrix	s:Sporothrix_stenoceras
LSUzotu3	NG_056978	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Bionectriaceae	g:Acremonium	s:Acremonium_biseptum
LSUzotu21	JN938937	k:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Trichocomaceae	g:Talaromyces	s:Talaromyces_rugulosus
LSUzotu70	JX852393	k:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Helotiales_incertae sedis	g:Xenopolyscytalum	s:Xenopolyscytalum_sp._I12F-02273
LSUzotu87	JF773595	k:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales	f:Cladosporiaceae	g:Cladosporium	s:Cladosporium_sp._CHTAE11
LSUzotu164	HE615136	k:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Aspergillus	s:Aspergillus_costiformis
LSUzotu173	MF467945	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Xylariales	f:Diatrypaceae	g:Diatrypella	s:Diatrypella_vulgaris
LSUzotu193	HE615136	k:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Aspergillus	s:Aspergillus_costiformis
LSUzotu5	Zotu5	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_canadensis
LSUzotu22	Zotu22	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_sulphurea
LSUzotu15	Zotu15	k:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Trichocomaceae	g:Penicillium	
LSUzotu19	Zotu19	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Chaetomium	s:Chaetomium_globosum
LSUzotu9	Zotu9	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	
LSUzotu11	Zotu11	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Raffaelea	s:Raffaelea_canadensis
LSUzotu17	Zotu17	k:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Chaetomium	
